BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh2,BAFAunp,0.5079
BGxh2,BGxh1,0.9941
BGxh2,BGxh2,0.9879
BGxh2,BGxh3,0.9703
BGxh2,BGxw1,0.9388
BGxh2,BGxw2,0.9176
BGxh2,BWBSdk,0.6437
BGxh2,BWBSmk,0.6286
BGxh2,BWBSmw,0.7216
BGxh2,BWBSvk,0.5378
BGxh2,BWBSwk1,0.6774
BGxh2,BWBSwk2,0.6620
BGxh2,BWBSwk3,0.5849
BGxh2,CDFmm,0.0000
BGxh2,CMAun,0.3774
BGxh2,CMAunp,0.4405
BGxh2,CMAwh,0.0000
BGxh2,CWHdm,0.0000
BGxh2,CWHds1,0.7315
BGxh2,CWHds2,0.7412
BGxh2,CWHmm1,0.0000
BGxh2,CWHmm2,0.0000
BGxh2,CWHms1,0.6376
BGxh2,CWHms2,0.6327
BGxh2,CWHun,0.7183
BGxh2,CWHvh1,0.0000
BGxh2,CWHvh2,0.0000
BGxh2,CWHvh3,0.0000
BGxh2,CWHvm1,0.0000
BGxh2,CWHvm2,0.0000
BGxh2,CWHwh1,0.0000
BGxh2,CWHwh2,0.0000
BGxh2,CWHwm,0.0000
BGxh2,CWHws1,0.6754
BGxh2,CWHws2,0.6038
BGxh2,CWHxm1,0.0000
BGxh2,CWHxm2,0.0000
BGxh2,ESSFdc1,0.6349
BGxh2,ESSFdc2,0.6686
BGxh2,ESSFdc3,0.6869
BGxh2,ESSFdcp,0.5594
BGxh2,ESSFdcw,0.5842
BGxh2,ESSFdk1,0.6175
BGxh2,ESSFdk2,0.5885
BGxh2,ESSFdkp,0.4956
BGxh2,ESSFdkw,0.5337
BGxh2,ESSFdv1,0.6342
BGxh2,ESSFdv2,0.6029
BGxh2,ESSFdvp,0.5248
BGxh2,ESSFdvw,0.5660
BGxh2,ESSFmc,0.5926
BGxh2,ESSFmcp,0.4870
BGxh2,ESSFmh,0.6877
BGxh2,ESSFmk,0.5848
BGxh2,ESSFmkp,0.5094
BGxh2,ESSFmm1,0.5556
BGxh2,ESSFmm2,0.5546
BGxh2,ESSFmmp,0.4978
BGxh2,ESSFmmw,0.5559
BGxh2,ESSFmv1,0.6763
BGxh2,ESSFmv2,0.5832
BGxh2,ESSFmv3,0.5851
BGxh2,ESSFmv4,0.5910
BGxh2,ESSFmvp,0.5183
BGxh2,ESSFmw,0.6100
BGxh2,ESSFmw1,0.6278
BGxh2,ESSFmw2,0.6454
BGxh2,ESSFmwp,0.5346
BGxh2,ESSFmww,0.5897
BGxh2,ESSFun,0.5087
BGxh2,ESSFunp,0.4561
BGxh2,ESSFvc,0.5639
BGxh2,ESSFvcp,0.4718
BGxh2,ESSFvcw,0.5115
BGxh2,ESSFwc2,0.5751
BGxh2,ESSFwc3,0.5255
BGxh2,ESSFwc4,0.5784
BGxh2,ESSFwcp,0.4884
BGxh2,ESSFwcw,0.5240
BGxh2,ESSFwh1,0.6172
BGxh2,ESSFwh2,0.6441
BGxh2,ESSFwh3,0.5981
BGxh2,ESSFwk1,0.6131
BGxh2,ESSFwk2,0.5543
BGxh2,ESSFwm,0.5639
BGxh2,ESSFwm1,0.6114
BGxh2,ESSFwm2,0.5963
BGxh2,ESSFwm3,0.5470
BGxh2,ESSFwm4,0.6392
BGxh2,ESSFwmp,0.4931
BGxh2,ESSFwmw,0.5351
BGxh2,ESSFwv,0.5801
BGxh2,ESSFwvp,0.5154
BGxh2,ESSFxc1,0.6692
BGxh2,ESSFxc2,0.6574
BGxh2,ESSFxc3,0.6389
BGxh2,ESSFxcp,0.5781
BGxh2,ESSFxcw,0.5963
BGxh2,ESSFxv1,0.5828
BGxh2,ESSFxv2,0.5737
BGxh2,ESSFxvp,0.5130
BGxh2,ESSFxvw,0.5710
BGxh2,ICHdk,0.7750
BGxh2,ICHdm,0.7360
BGxh2,ICHdw1,0.8088
BGxh2,ICHdw3,0.7820
BGxh2,ICHdw4,0.8444
BGxh2,ICHmc1,0.6805
BGxh2,ICHmc2,0.7529
BGxh2,ICHmk1,0.7747
BGxh2,ICHmk2,0.7728
BGxh2,ICHmk3,0.7487
BGxh2,ICHmk4,0.7102
BGxh2,ICHmm,0.6760
BGxh2,ICHmw1,0.7040
BGxh2,ICHmw2,0.7377
BGxh2,ICHmw3,0.7408
BGxh2,ICHmw4,0.6696
BGxh2,ICHmw5,0.7484
BGxh2,ICHvc,0.6482
BGxh2,ICHvk1,0.6350
BGxh2,ICHvk2,0.6261
BGxh2,ICHwc,0.6137
BGxh2,ICHwk1,0.6721
BGxh2,ICHwk2,0.7253
BGxh2,ICHwk3,0.6730
BGxh2,ICHwk4,0.6737
BGxh2,ICHxw,0.8779
BGxh2,IDFdc,0.7899
BGxh2,IDFdk1,0.8285
BGxh2,IDFdk2,0.8148
BGxh2,IDFdk3,0.8237
BGxh2,IDFdk4,0.8079
BGxh2,IDFdk5,0.8304
