"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"IDFxh2/08",20.2886533720969,20.4980955091754,20.6940482019136,NA,"Lw"
"IDFxm/02",13.884276022793,14.8687742558727,15.4936379787644,NA,"Lw"
"IDFxm/03",14.6587777480987,15.9628901122882,17.2023327940162,NA,"Lw"
"IDFxm/04",15.0768667773564,16.2635389022585,17.300958933998,NA,"Lw"
"IDFxm/05",17.2023327940162,17.7942750063875,18.3861076149567,NA,"Lw"
"IDFxm/06",19.6496154409505,19.8658811679271,20.041794720725,NA,"Lw"
"IDFxm/07",19.9062333421058,19.9942777269434,20.041794720725,NA,"Lw"
"IDFxm/08",19.2792848538356,19.9122361551141,20.2649871751698,NA,"Lw"
"IDFxm/09",19.2792848538356,19.906467370649,20.2649871751698,NA,"Lw"
"MHmm2/01",16.4579440176301,17.3333494239779,17.9141711451389,NA,"Lw"
"MHmm2/02",15.9201518415967,16.5052321236406,17.0839111526766,NA,"Lw"
"MHmm2/03",17.9551346555326,18.0761342197991,18.1644052351248,NA,"Lw"
"MHmm2/04",15.4710769902359,16.1376106675866,16.7839489101891,NA,"Lw"
"MHmm2/05",17.1476208162568,17.1704559411233,17.1932910659897,NA,"Lw"
"MHmm2/06",15.7120745760735,16.2586174026175,16.8053718603357,NA,"Lw"
"MHmm2/07",16.8437040428347,16.9764000340198,17.109096025205,NA,"Lw"
